HS_POPN,Pred_school_num,PSGC_BRGY
65.0,1.0,PH153634001
87.0,1.0,PH153634003
35.0,1.0,PH153634005
77.0,1.0,PH153634011
98.0,1.0,PH153634013
79.0,1.0,PH153634015
32.0,1.0,PH153634016
67.0,1.0,PH153634024
34.0,1.0,PH153634025
24.0,1.0,PH153634038
48.0,1.0,PH153634041
45.0,1.0,PH153634045
63.0,1.0,PH153634048
47.0,1.0,PH153634051
37.0,1.0,PH153634052
34.0,1.0,PH153634053
36.0,1.0,PH153634054
52.0,1.0,PH153634056
115.0,1.0,PH153635024
136.0,1.0,PH153635035
58.0,1.0,PH153635049
63.0,1.0,PH153635050
99.0,1.0,PH153635053
51.0,1.0,PH153635054
41.0,1.0,PH153635061
35.0,1.0,PH153636004
34.0,1.0,PH153636010
55.0,1.0,PH153636012
59.0,1.0,PH153636019
81.0,1.0,PH153636023
35.0,1.0,PH153636026
46.0,1.0,PH153636036
83.0,1.0,PH153637001
47.0,1.0,PH153637002
28.0,1.0,PH153637003
47.0,1.0,PH153637008
48.0,1.0,PH153637009
67.0,1.0,PH153637010
74.0,1.0,PH153637013
92.0,1.0,PH153637014
16.0,1.0,PH153637015
78.0,1.0,PH153637017
40.0,1.0,PH153637019
55.0,1.0,PH153638002
54.0,1.0,PH153638004
65.0,1.0,PH153638005
55.0,1.0,PH153638006
46.0,1.0,PH153638007
32.0,1.0,PH153638009
51.0,1.0,PH153638012
72.0,1.0,PH153638013
45.0,1.0,PH153638018
86.0,1.0,PH153638024
98.0,1.0,PH153638026
56.0,1.0,PH153638027
22.0,1.0,PH153638029
53.0,1.0,PH153638041
91.0,1.0,PH153638042
73.0,1.0,PH153639002
76.0,1.0,PH153639005
60.0,1.0,PH153639006
126.0,1.0,PH153639012
109.0,1.0,PH153639013
53.0,1.0,PH153639015
123.0,1.0,PH153640002
61.0,1.0,PH153641002
63.0,1.0,PH153641004
80.0,1.0,PH153641005
181.0,1.0,PH153801011
439.0,1.0,PH153801035
228.0,1.0,PH153803054
124.0,1.0,PH153805013
123.0,1.0,PH153805016
148.0,1.0,PH153807011
44.0,1.0,PH153807017
230.0,1.0,PH153808002
201.0,1.0,PH153808004
124.0,1.0,PH153808011
84.0,1.0,PH153808023
81.0,1.0,PH153808038
328.0,1.0,PH153808046
194.0,1.0,PH153809008
97.0,1.0,PH153811029
199.0,1.0,PH153811031
72.0,1.0,PH153811034
624.0,1.0,PH153812009
74.0,1.0,PH153812016
531.0,1.0,PH153812020
207.0,1.0,PH153812028
68.0,1.0,PH153812030
113.0,1.0,PH153812031
77.0,1.0,PH153812034
105.0,1.0,PH153812043
107.0,1.0,PH153812052
88.0,1.0,PH153814011
34.0,1.0,PH153814015
155.0,1.0,PH153814017
143.0,1.0,PH153816005
104.0,1.0,PH153816008
97.0,1.0,PH153816009
153.0,1.0,PH153816014
134.0,1.0,PH153816018
125.0,1.0,PH153816025
389.0,1.0,PH153816036
125.0,1.0,PH153816038
99.0,1.0,PH153819018
175.0,1.0,PH153820001
168.0,1.0,PH153820002
120.0,1.0,PH153820003
147.0,1.0,PH153820004
71.0,1.0,PH153820006
98.0,1.0,PH153825003
57.0,1.0,PH153825005
194.0,1.0,PH153825006
145.0,1.0,PH153825010
60.0,1.0,PH153827001
91.0,1.0,PH153827005
84.0,1.0,PH153827008
36.0,1.0,PH153827010
297.0,1.0,PH153829003
229.0,1.0,PH153832003
306.0,1.0,PH153832006
445.0,1.0,PH153832007
279.0,1.0,PH153833005
254.0,1.0,PH153835003
165.0,1.0,PH153835011
61.0,1.0,PH153836001
21.0,1.0,PH153836003
155.0,1.0,PH153836004
41.0,1.0,PH153836006
30.0,1.0,PH153836007
23.0,1.0,PH153836008
76.0,1.0,PH153836009
18.0,1.0,PH153836010
112.0,1.0,PH153836011
5.0,1.0,PH153836012
309.0,1.0,PH153836013
121.0,1.0,PH153837001
87.0,1.0,PH153837002
11.0,1.0,PH153837004
27.0,1.0,PH153837005
98.0,1.0,PH153837008
127.0,1.0,PH153837009
181.0,1.0,PH153837014
92.0,1.0,PH153837015
122.0,1.0,PH153837016
244.0,1.0,PH156601002
89.0,1.0,PH156601005
177.0,1.0,PH156601007
146.0,1.0,PH156601008
131.0,1.0,PH156601012
98.0,1.0,PH156601013
165.0,1.0,PH156601015
135.0,1.0,PH156601017
211.0,1.0,PH156601021
123.0,1.0,PH156601033
121.0,1.0,PH156601035
71.0,1.0,PH156601036
154.0,1.0,PH156604029
52.0,1.0,PH156605001
60.0,1.0,PH156605003
97.0,1.0,PH156605005
38.0,1.0,PH156605007
55.0,1.0,PH156605010
82.0,1.0,PH156605011
65.0,1.0,PH156605013
79.0,1.0,PH156605015
171.0,1.0,PH156605016
53.0,1.0,PH156605018
43.0,1.0,PH156605024
69.0,1.0,PH156607002
61.0,1.0,PH156607003
99.0,1.0,PH156607004
98.0,1.0,PH156607006
78.0,1.0,PH156607008
136.0,1.0,PH156607011
83.0,1.0,PH156607014
150.0,1.0,PH156607015
63.0,1.0,PH156607017
56.0,1.0,PH156607019
78.0,1.0,PH156607023
133.0,1.0,PH156607027
54.0,1.0,PH156607031
61.0,1.0,PH156607033
58.0,1.0,PH156607038
58.0,1.0,PH156607040
148.0,1.0,PH156607042
94.0,1.0,PH156607043
309.0,1.0,PH156609004
92.0,1.0,PH156609006
87.0,1.0,PH156609008
305.0,1.0,PH156609009
86.0,1.0,PH156609010
73.0,1.0,PH156609012
167.0,1.0,PH156609025
148.0,1.0,PH156609031
141.0,1.0,PH156609034
281.0,1.0,PH156609035
127.0,1.0,PH156609040
134.0,1.0,PH156609043
144.0,1.0,PH156609044
80.0,1.0,PH156610001
745.0,1.0,PH156610013
80.0,1.0,PH156611002
126.0,1.0,PH156611005
174.0,1.0,PH156611006
64.0,1.0,PH156611016
333.0,1.0,PH156611017
90.0,1.0,PH156611018
63.0,1.0,PH156611019
82.0,1.0,PH156611020
64.0,1.0,PH156611022
78.0,1.0,PH156612001
42.0,1.0,PH156612006
105.0,1.0,PH156612013
88.0,1.0,PH156612026
70.0,1.0,PH156612038
57.0,1.0,PH156612041
53.0,1.0,PH156612065
48.0,1.0,PH156612067
143.0,1.0,PH156612071
266.0,1.0,PH156612073
65.0,1.0,PH156612080
126.0,1.0,PH156613010
200.0,1.0,PH156613020
198.0,1.0,PH156613023
109.0,1.0,PH156613024
182.0,1.0,PH156613029
105.0,1.0,PH156613032
93.0,1.0,PH156613035
219.0,1.0,PH156613043
106.0,1.0,PH156613055
133.0,1.0,PH156613058
77.0,1.0,PH156614030
187.0,1.0,PH156616005
140.0,1.0,PH156616009
72.0,1.0,PH156617006
122.0,1.0,PH156617013
103.0,1.0,PH156618001
78.0,1.0,PH156618008
57.0,1.0,PH156618013
88.0,1.0,PH156618015
113.0,1.0,PH156618016
144.0,1.0,PH157002015
152.0,1.0,PH157002019
88.0,1.0,PH157004010
239.0,1.0,PH157005022
28.0,1.0,PH157006001
69.0,1.0,PH157006005
87.0,1.0,PH157006007
58.0,1.0,PH157006009
97.0,1.0,PH157006010
156.0,1.0,PH157006012
69.0,1.0,PH157006013
64.0,1.0,PH157006015
64.0,1.0,PH157006016
55.0,1.0,PH157006017
56.0,1.0,PH157006024
46.0,1.0,PH157006029
83.0,1.0,PH157006030
53.0,1.0,PH157006033
109.0,1.0,PH157006034
114.0,1.0,PH157006036
50.0,1.0,PH157006037
73.0,1.0,PH157006038
47.0,1.0,PH157006039
93.0,1.0,PH157007002
121.0,1.0,PH157007009
45.0,1.0,PH157007012
286.0,1.0,PH157007033
124.0,1.0,PH157007041
81.0,1.0,PH157007044
85.0,1.0,PH157007047
85.0,1.0,PH157007048
115.0,1.0,PH157007051
87.0,1.0,PH157008002
47.0,1.0,PH157010007
132.0,1.0,PH157010017
112.0,1.0,PH157010018
114.0,1.0,PH157010023
146.0,1.0,PH157011001
92.0,1.0,PH157011003
154.0,1.0,PH157011005
90.0,1.0,PH157011006
214.0,1.0,PH157011016
40.0,1.0,PH150702001
109.0,1.0,PH150702002
201.0,1.0,PH150702005
287.0,1.0,PH150702006
185.0,1.0,PH150702007
422.0,1.0,PH150702008
59.0,1.0,PH150702010
147.0,1.0,PH150702011
110.0,1.0,PH150702012
51.0,1.0,PH150702013
52.0,1.0,PH150702014
86.0,1.0,PH150702016
137.0,1.0,PH150702018
381.0,1.0,PH150702025
53.0,1.0,PH150702034
59.0,1.0,PH150702035
119.0,1.0,PH150702036
147.0,1.0,PH150702037
472.0,1.0,PH150702045
111.0,1.0,PH150702047
99.0,1.0,PH150702049
79.0,1.0,PH150702055
188.0,1.0,PH150702058
76.0,1.0,PH150702060
131.0,1.0,PH150702061
69.0,1.0,PH150702062
97.0,1.0,PH150702065
163.0,1.0,PH150702067
46.0,1.0,PH150703003
72.0,1.0,PH150703004
70.0,1.0,PH150703007
108.0,1.0,PH150703008
93.0,1.0,PH150703012
68.0,1.0,PH150703017
81.0,1.0,PH150703018
143.0,1.0,PH150703019
93.0,1.0,PH150703021
60.0,1.0,PH150703024
55.0,1.0,PH150703025
170.0,1.0,PH150703027
125.0,1.0,PH150703031
97.0,1.0,PH150703033
106.0,1.0,PH150703034
74.0,1.0,PH150703035
58.0,1.0,PH150703037
86.0,1.0,PH150703038
96.0,1.0,PH150704001
149.0,1.0,PH150704002
348.0,1.0,PH150704003
106.0,1.0,PH150704005
40.0,1.0,PH150704008
249.0,1.0,PH150704010
425.0,1.0,PH150704011
181.0,1.0,PH150704015
126.0,1.0,PH150704016
91.0,1.0,PH150704017
142.0,1.0,PH150704018
116.0,1.0,PH150704019
63.0,1.0,PH150704021
205.0,1.0,PH150705001
133.0,1.0,PH150705006
167.0,1.0,PH150705007
252.0,1.0,PH150705010
196.0,1.0,PH150705013
134.0,1.0,PH150705024
106.0,1.0,PH150705025
121.0,1.0,PH150705029
129.0,1.0,PH150705030
153.0,1.0,PH150705031
118.0,1.0,PH150705032
130.0,1.0,PH150705035
64.0,1.0,PH150705036
215.0,1.0,PH150705039
82.0,1.0,PH150705041
77.0,1.0,PH150705042
103.0,1.0,PH150705044
78.0,1.0,PH150705045
202.0,1.0,PH150705047
149.0,1.0,PH150705048
82.0,1.0,PH150705050
81.0,1.0,PH150705051
331.0,1.0,PH150706002
156.0,1.0,PH150706003
73.0,1.0,PH150706011
139.0,1.0,PH150706012
241.0,1.0,PH150706017
210.0,1.0,PH150706018
72.0,1.0,PH150706019
169.0,1.0,PH150706030
97.0,1.0,PH150706038
132.0,1.0,PH150707016
362.0,1.0,PH150707021
214.0,1.0,PH150707025
431.0,1.0,PH150707034
74.0,1.0,PH150707041
103.0,1.0,PH150708001
239.0,1.0,PH150708002
255.0,1.0,PH150708003
105.0,1.0,PH150708004
496.0,1.0,PH150708007
113.0,1.0,PH150709002
153.0,1.0,PH150709003
171.0,1.0,PH150709004
150.0,1.0,PH150709005
141.0,1.0,PH150709006
122.0,1.0,PH150709008
104.0,1.0,PH150709009
140.0,1.0,PH150709011
99.0,1.0,PH150709012
216.0,1.0,PH150709015
84.0,1.0,PH150709016
110.0,1.0,PH150710001
188.0,1.0,PH150710003
173.0,1.0,PH150710004
105.0,1.0,PH150710006
124.0,1.0,PH150710007
176.0,1.0,PH150710008
224.0,1.0,PH150710009
180.0,1.0,PH150710010
433.0,1.0,PH150710011
107.0,1.0,PH150711001
129.0,1.0,PH150711002
315.0,1.0,PH150711003
97.0,1.0,PH150711004
65.0,1.0,PH150711005
92.0,1.0,PH150711006
162.0,1.0,PH150711007
293.0,1.0,PH150711008
250.0,1.0,PH150711009
82.0,1.0,PH150711010
169.0,1.0,PH150711011
166.0,1.0,PH150711012
128.0,1.0,PH150712001
315.0,1.0,PH150712002
163.0,1.0,PH150712004
70.0,1.0,PH150712005
178.0,1.0,PH150712006
169.0,1.0,PH150712007
438.0,1.0,PH150712008
328.0,1.0,PH150712010
258.0,1.0,PH150713001
176.0,1.0,PH150713002
337.0,1.0,PH150713004
253.0,1.0,PH150713005
375.0,1.0,PH150713006
32.0,1.0,PH150713007
136.0,1.0,PH150713009
202.0,1.0,PH150713010
200.0,1.0,PH150713011
315.0,1.0,PH150713012
65.0,1.0,PH153601001
53.0,1.0,PH153601002
56.0,1.0,PH153601004
80.0,1.0,PH153601005
54.0,1.0,PH153601006
62.0,1.0,PH153601008
26.0,1.0,PH153601012
61.0,1.0,PH153601013
44.0,1.0,PH153601015
56.0,1.0,PH153601019
27.0,1.0,PH153601020
142.0,1.0,PH153601022
69.0,1.0,PH153601023
46.0,1.0,PH153601024
64.0,1.0,PH153601025
27.0,1.0,PH153601026
158.0,1.0,PH153602002
82.0,1.0,PH153602007
118.0,1.0,PH153602010
101.0,1.0,PH153602012
70.0,1.0,PH153602013
119.0,1.0,PH153602027
71.0,1.0,PH153602043
64.0,1.0,PH153602051
94.0,1.0,PH153602053
68.0,1.0,PH153603001
91.0,1.0,PH153603005
59.0,1.0,PH153603006
68.0,1.0,PH153603008
90.0,1.0,PH153603009
54.0,1.0,PH153603013
170.0,1.0,PH153603014
71.0,1.0,PH153603015
53.0,1.0,PH153603021
34.0,1.0,PH153603022
148.0,1.0,PH153603025
83.0,1.0,PH153603029
154.0,1.0,PH153603031
138.0,1.0,PH153603032
9.0,1.0,PH153603033
74.0,1.0,PH153603036
77.0,1.0,PH153603043
70.0,1.0,PH153603044
62.0,1.0,PH153603046
41.0,1.0,PH153603050
35.0,1.0,PH153603051
75.0,1.0,PH153603052
62.0,1.0,PH153603053
145.0,1.0,PH153603055
128.0,1.0,PH153603056
39.0,1.0,PH153604003
74.0,1.0,PH153604005
29.0,1.0,PH153604006
73.0,1.0,PH153604007
51.0,1.0,PH153604009
57.0,1.0,PH153604013
44.0,1.0,PH153604014
45.0,1.0,PH153604015
86.0,1.0,PH153604017
61.0,1.0,PH153604018
54.0,1.0,PH153604019
33.0,1.0,PH153604021
39.0,1.0,PH153604022
26.0,1.0,PH153604025
63.0,1.0,PH153604030
61.0,1.0,PH153604034
39.0,1.0,PH153604035
56.0,1.0,PH153604037
26.0,1.0,PH153604040
55.0,1.0,PH153604041
55.0,1.0,PH153604043
50.0,1.0,PH153604045
41.0,1.0,PH153604046
44.0,1.0,PH153604047
104.0,1.0,PH153604049
37.0,1.0,PH153604050
36.0,1.0,PH153604054
17.0,1.0,PH153604055
28.0,1.0,PH153605003
129.0,1.0,PH153605004
52.0,1.0,PH153605006
66.0,1.0,PH153605010
164.0,1.0,PH153605011
91.0,1.0,PH153605012
65.0,1.0,PH153605015
167.0,1.0,PH153605016
103.0,1.0,PH153605017
43.0,1.0,PH153605021
54.0,1.0,PH153605028
96.0,1.0,PH153605030
55.0,1.0,PH153605033
30.0,1.0,PH153606002
90.0,1.0,PH153606005
49.0,1.0,PH153606007
67.0,1.0,PH153606011
65.0,1.0,PH153606015
79.0,1.0,PH153606031
79.0,1.0,PH153606038
64.0,1.0,PH153606039
47.0,1.0,PH153606045
157.0,1.0,PH153606049
56.0,1.0,PH153606051
97.0,1.0,PH153606052
52.0,1.0,PH153606059
75.0,1.0,PH153607012
123.0,1.0,PH153607016
55.0,1.0,PH153607019
73.0,1.0,PH153607022
88.0,1.0,PH153607045
80.0,1.0,PH153607046
84.0,1.0,PH153607047
114.0,1.0,PH153607051
87.0,1.0,PH153607056
54.0,1.0,PH153607060
37.0,1.0,PH153607062
69.0,1.0,PH153607063
56.0,1.0,PH153609001
63.0,1.0,PH153609005
89.0,1.0,PH153609006
101.0,1.0,PH153609010
