PSGC_BRGY,both_age_6_to_16,Access_Scores_Queen,Access_Scores_Queen (distance only)
PH157007031,705.0,0.13112456079177948,0.8500000000000001
PH157007033,851.0,0.17867880969164146,1.4833333333333332
PH157007041,341.0,0.03903907519098384,0.25
PH157007042,388.0,0.07192244676589188,0.45
PH157007043,483.0,0.17572695501728855,1.3
PH157007044,222.0,0.07192244676589188,0.45
PH157007045,575.0,0.06215396870024049,0.5833333333333333
PH157007046,1077.0,0.12005331200792801,2.0
PH157007047,222.0,0.0,0.0
PH157007048,213.0,0.12528819479897138,0.5
PH157007049,306.0,0.15961547360525516,1.1
PH157007050,432.0,0.17773983085458187,0.8333333333333333
PH157007051,345.0,0.17572695501728855,1.3
PH157007052,429.0,0.15069629024771383,1.0
PH157008001,898.0,0.0,0.0
PH157008002,270.0,0.7183189835141027,3.0
PH157009001,413.0,0.18459657297166504,1.776190476190476
PH157009002,352.0,0.1640830165387544,1.0
PH157009003,459.0,0.09858367751231233,0.7
PH157009004,1660.0,0.10229289700024335,1.1
PH157009005,780.0,0.06241026404310999,0.7333333333333334
PH157009006,280.0,0.15572554113226772,1.4095238095238094
PH157009009,345.0,0.18738756091672243,1.0
PH157009010,592.0,0.17943401161588168,1.6166666666666665
PH157009011,238.0,0.28259498251587667,2.6595238095238094
PH157009012,532.0,0.2647066371316613,2.0
PH157009013,584.0,0.20277444421350843,1.3333333333333333
PH157009015,41.0,0.13038566508456925,1.1666666666666667
PH157009016,436.0,0.1640830165387544,1.0
PH157009017,373.0,0.20277444421350843,1.3333333333333333
PH157009018,390.0,0.16525342940429819,1.0833333333333333
PH157009019,456.0,0.2835469671766194,2.0
PH157009020,411.0,0.24226422047413335,2.2583333333333333
PH157009021,204.0,0.12567482590583934,1.15
PH157009022,307.0,0.19802314063021653,1.25
PH157010001,531.0,0.19414395059959424,1.5
PH157010002,563.0,0.10541982636162942,1.3333333333333333
PH157010003,1566.0,0.10541982636162942,1.3333333333333333
PH157010004,318.0,0.1807207461126053,0.7333333333333333
PH157010005,425.0,0.13727542265870007,0.7333333333333334
PH157010006,276.0,0.25302821337091674,1.3333333333333333
PH157010007,110.0,0.10125091388609121,0.4
PH157010008,325.0,0.25302821337091674,1.3333333333333333
PH157010009,444.0,0.24369494636284897,1.4666666666666666
PH157010010,367.0,0.15470656775114727,0.7833333333333333
PH157010011,155.0,0.16800160830038768,0.7333333333333334
PH157010012,358.0,0.22583498792437726,0.9333333333333333
PH157010013,607.0,0.16852202948346615,1.0666666666666667
PH157010014,332.0,0.15470656775114727,0.7833333333333333
PH157010015,331.0,0.20525513718684862,1.1333333333333333
PH157010016,206.0,0.1807207461126053,0.7333333333333333
PH157010017,421.0,0.25302821337091674,1.3333333333333333
PH157010018,305.0,0.21646390853747102,0.9833333333333332
PH157010019,285.0,0.22583498792437726,0.9333333333333333
PH157010020,285.0,0.20525513718684862,1.1333333333333333
PH157010021,330.0,0.19982080956291923,0.9833333333333334
PH157010022,235.0,0.24369494636284897,1.4666666666666666
PH157010023,324.0,0.10541982636162942,1.3333333333333333
PH157011001,404.0,0.054740650733504856,0.3333333333333333
PH157011002,305.0,0.08081088564533655,0.3333333333333333
PH157011003,272.0,0.16646913968647853,0.9166666666666666
PH157011004,705.0,0.07304792087929077,0.6666666666666666
PH157011005,448.0,0.0,0.0
PH157011006,392.0,0.08724522066972906,0.5
PH157011007,695.0,0.14930417671193819,1.5
PH157011008,505.0,0.085658254041142,0.5833333333333333
