osm_id,PSGC_BRGY_LIST,PROV_LIST
557228617,{'PH157002019'},{'TAWI-TAWI'}
557228618,{'PH157002012'},{'TAWI-TAWI'}
557287528,"{'PH157002031', 'PH157002037'}",{'TAWI-TAWI'}
99989261,"{'PH153606048', 'PH153624001', 'PH153624027', 'PH153624024', 'PH153624032', 'PH153624078', 'PH153624092', 'PH153624055', 'PH153606059', 'PH153624070'}",{'LANAO DEL SUR'}
99989361,"{'PH153606030', 'PH153606007', 'PH153606038', 'PH153606027', 'PH153606006', 'PH153606012', 'PH153606014', 'PH153606041', 'PH153606033', 'PH153606003', 'PH153606051'}",{'LANAO DEL SUR'}
142862287,"{'PH153624048', 'PH153624001', 'PH153624009', 'PH153624033', 'PH153624079', 'PH153624006', 'PH153624042', 'PH153624077', 'PH153624086'}",{'LANAO DEL SUR'}
194239206,"{'PH153606005', 'PH153606014', 'PH153606011', 'PH153606004'}",{'LANAO DEL SUR'}
194239214,"{'PH153606053', 'PH153606012', 'PH153606039', 'PH153606058', 'PH153606028', 'PH153606052'}",{'LANAO DEL SUR'}
229972256,"{'PH153606007', 'PH153606059'}",{'LANAO DEL SUR'}
229972258,"{'PH153606031', 'PH153606007', 'PH153617076', 'PH153617105', 'PH153606027', 'PH153624006', 'PH153617099', 'PH153617077', 'PH153624058', 'PH153624094', 'PH153624045'}",{'LANAO DEL SUR'}
308625241,"{'PH153619014', 'PH153619026', 'PH153619024', 'PH153619010', 'PH153624093', 'PH153627061', 'PH153633013', 'PH153619005', 'PH153633026', 'PH153633030', 'PH153619027', 'PH153619019', 'PH153619016', 'PH153619022', 'PH153624082', 'PH153626049', 'PH153626008', 'PH153633019', 'PH153606059', 'PH153624038', 'PH153619013', 'PH153624016', 'PH153627038', 'PH153624091', 'PH153619015', 'PH153633011', 'PH153619034', 'PH153619011', 'PH153619002', 'PH153624081', 'PH153633020', 'PH153627063'}",{'LANAO DEL SUR'}
557385425,"{'PH153624012', 'PH153624042', 'PH153624057'}",{'LANAO DEL SUR'}
126978691,"{'PH153619037', 'PH153634048', 'PH153619024'}",{'LANAO DEL SUR'}
166434411,"{'PH153619026', 'PH153619022', 'PH153619024', 'PH153619033', 'PH153619018', 'PH153619039', 'PH153619015', 'PH153619007', 'PH153619019'}",{'LANAO DEL SUR'}
166434415,"{'PH153619008', 'PH153619013', 'PH153619030'}",{'LANAO DEL SUR'}
194242044,"{'PH153619008', 'PH153619027', 'PH153619011'}",{'LANAO DEL SUR'}
284620215,{'PH153638006'},{'LANAO DEL SUR'}
363063630,"{'PH153634008', 'PH153634020'}",{'LANAO DEL SUR'}
363063634,{'PH153634045'},{'LANAO DEL SUR'}
468233466,"{'PH153638005', 'PH153638030', 'PH153638015', 'PH153638012', 'PH153638017'}",{'LANAO DEL SUR'}
468233468,"{'PH153610033', 'PH153610009', 'PH153610008', 'PH153610017', 'PH153610012', 'PH153610003', 'PH153610007', 'PH153638017'}",{'LANAO DEL SUR'}
555876771,{'PH153619027'},{'LANAO DEL SUR'}
555876772,"{'PH153619013', 'PH153619030', 'PH153619038'}",{'LANAO DEL SUR'}
95775254,"{'PH153802021', 'PH153802011', 'PH153802005', 'PH153802009'}",{'MAGUINDANAO'}
95775255,"{'PH153802021', 'PH153802005', 'PH153802017'}",{'MAGUINDANAO'}
95777423,{'PH153802009'},{'MAGUINDANAO'}
95777426,{'PH153802009'},{'MAGUINDANAO'}
95777443,{'PH153802009'},{'MAGUINDANAO'}
95777450,{'PH153802009'},{'MAGUINDANAO'}
95777458,"{'PH153802002', 'PH153802009'}",{'MAGUINDANAO'}
95777476,"{'PH153802020', 'PH153802009'}",{'MAGUINDANAO'}
95780366,set(),set()
129215562,set(),set()
173290220,{'PH153812029'},{'MAGUINDANAO'}
212571507,"{'PH153802017', 'PH153802007'}",{'MAGUINDANAO'}
642214107,{'PH153802021'},{'MAGUINDANAO'}
644886903,set(),set()
644886909,set(),set()
120492980,"{'PH153823005', 'PH153803040', 'PH153823007', 'PH153823002', 'PH153833006', 'PH153803039', 'PH153833007', 'PH153823003', 'PH153833008', 'PH153833003'}",{'MAGUINDANAO'}
130507137,set(),set()
130835161,"{'PH153803054', 'PH153803008', 'PH153832001'}",{'MAGUINDANAO'}
131594923,{'PH153803008'},{'MAGUINDANAO'}
136250883,{'PH153803039'},{'MAGUINDANAO'}
156896794,{'PH153803039'},{'MAGUINDANAO'}
156896795,{'PH153803039'},{'MAGUINDANAO'}
172526501,"{'PH153803054', 'PH153803039', 'PH153833002', 'PH153803008', 'PH153832001'}",{'MAGUINDANAO'}
185931357,"{'PH153803030', 'PH153803040', 'PH153803039'}",{'MAGUINDANAO'}
142862288,"{'PH153637005', 'PH153637001'}",{'LANAO DEL SUR'}
142862290,"{'PH153637005', 'PH153637016', 'PH153637008', 'PH153637021', 'PH153637006'}",{'LANAO DEL SUR'}
338242095,"{'PH153630042', 'PH153630035', 'PH153630026', 'PH153630036'}",{'LANAO DEL SUR'}
418262418,{'PH153630035'},{'LANAO DEL SUR'}
418262421,{'PH153630035'},{'LANAO DEL SUR'}
418262424,{'PH153630035'},{'LANAO DEL SUR'}
418422319,"{'PH153630035', 'PH153630036'}",{'LANAO DEL SUR'}
418422320,{'PH153630036'},{'LANAO DEL SUR'}
418422322,{'PH153630035'},{'LANAO DEL SUR'}
418422328,{'PH153630003'},{'LANAO DEL SUR'}
418422330,{'PH153630036'},{'LANAO DEL SUR'}
418924699,{'PH153637021'},{'LANAO DEL SUR'}
418924710,{'PH153637021'},{'LANAO DEL SUR'}
418924712,{'PH153637021'},{'LANAO DEL SUR'}
418924728,"{'PH153630022', 'PH153637021'}",{'LANAO DEL SUR'}
579463448,{'PH153637005'},{'LANAO DEL SUR'}
88790279,"{'PH153618018', 'PH153618008', 'PH153618035'}",{'LANAO DEL SUR'}
102679652,"{'PH153607019', 'PH153636018', 'PH153636035', 'PH153607060', 'PH153607044'}",{'LANAO DEL SUR'}
166434420,"{'PH153618041', 'PH153618035', 'PH153636035', 'PH153636030', 'PH153607051', 'PH153636005'}",{'LANAO DEL SUR'}
194244641,"{'PH153607044', 'PH153607052'}",{'LANAO DEL SUR'}
194244650,{'PH153607044'},{'LANAO DEL SUR'}
194244654,"{'PH153607052', 'PH153607012'}",{'LANAO DEL SUR'}
308625172,{'PH153607044'},{'LANAO DEL SUR'}
308625227,{'PH153607044'},{'LANAO DEL SUR'}
497650032,"{'PH153607044', 'PH153607012'}",{'LANAO DEL SUR'}
497650034,{'PH153607044'},{'LANAO DEL SUR'}
497958039,{'PH153607044'},{'LANAO DEL SUR'}
497958040,{'PH153607044'},{'LANAO DEL SUR'}
497958084,{'PH153607044'},{'LANAO DEL SUR'}
637412613,"{'PH153636022', 'PH153636019', 'PH153607056', 'PH153612011', 'PH153607041', 'PH153607063', 'PH153636007'}",{'LANAO DEL SUR'}
166235745,"{'PH153632052', 'PH153632043', 'PH153632056', 'PH153632004', 'PH153632008', 'PH153632054', 'PH153632048', 'PH153623030', 'PH153615059', 'PH153632038', 'PH153632055', 'PH153615078', 'PH153632041', 'PH153632019', 'PH153632050', 'PH153615075'}",{'LANAO DEL SUR'}
169790349,"{'PH153623035', 'PH153623022', 'PH153623030', 'PH153609001', 'PH153623036', 'PH153623006'}",{'LANAO DEL SUR'}
251285104,"{'PH153632043', 'PH153632004'}",{'LANAO DEL SUR'}
146154624,set(),set()
160707677,set(),set()
166210216,set(),set()
338253463,set(),set()
338372697,set(),set()
381690714,set(),set()
505843423,set(),set()
505843426,set(),set()
614210339,set(),set()
614210349,set(),set()
614217615,set(),set()
614217616,set(),set()
614217617,set(),set()
614217618,set(),set()
614217993,set(),set()
614218947,set(),set()
614218948,set(),set()
614218949,set(),set()
614218950,set(),set()
614347762,set(),set()
614357421,set(),set()
614357422,set(),set()
614408978,set(),set()
614419433,set(),set()
614419435,set(),set()
614419437,set(),set()
614703968,set(),set()
614703975,set(),set()
614703981,{'PH153822006'},{'MAGUINDANAO'}
103102511,set(),set()
