PSGC_BRGY,both_student_age_7_to_25,male_student_age_7_to_25,female_student_age_7_to_25,No_of_Schools,Perc_Households_Electricity_Light,Perc_Households_Kerosene_Gass_Light,Perc_Households_Drinking_Owned_Faucet,Perc_Households_Drinking_Shared_Faucet,number_of_roads,Nearest_School,Nearest_School_Distance
PH153801011,714.0,344.0,370.0,1.0,0.9484126984126984,0.03571428571428571,0.04365079365079365,0.007936507936507936,20,133884,0.009169164185979795
PH153801012,1256.0,621.0,635.0,1.0,0.9603960396039604,0.0297029702970297,0.20544554455445543,0.0049504950495049506,19,133880,0.007851296556998065
PH153801014,905.0,488.0,417.0,1.0,0.9801980198019802,0.009900990099009901,0.006600660066006601,0.0,7,133875,0.009531852468807967
PH153801015,1971.0,1037.0,934.0,5.0,0.8624708624708625,0.12937062937062938,0.024475524475524476,0.006993006993006993,53,133881,0.0024038612505193602
PH153801018,590.0,304.0,286.0,1.0,0.6157407407407407,0.027777777777777776,0.0,0.0,5,216521,0.006574148058047467
PH153801022,397.0,185.0,212.0,1.0,0.6170212765957447,0.04964539007092199,0.0,0.0070921985815602835,10,216546,0.01266743384409408
PH153801028,576.0,320.0,256.0,1.0,0.03056768558951965,0.9606986899563319,0.0,0.004366812227074236,3,133888,0.01757042010660663
PH153801031,499.0,258.0,241.0,1.0,0.010638297872340425,0.9148936170212766,0.0,0.0,1,133890,0.0177449052839021
PH153801032,362.0,213.0,149.0,1.0,0.014388489208633094,0.34532374100719426,0.0,0.007194244604316547,0,216586,0.047179889872461786
PH153801035,1844.0,996.0,848.0,,0.6977928692699491,0.23599320882852293,0.02037351443123939,0.01867572156196944,37,216645,0.03539820696231286
PH153802001,477.0,233.0,244.0,1.0,0.04519774011299435,0.01694915254237288,0.005649717514124294,0.011299435028248588,3,216524,0.017974025395126103
PH153802002,428.0,205.0,223.0,1.0,0.0051813471502590676,0.9326424870466321,0.0,0.0,8,133912,0.019563892240261588
PH153802005,973.0,476.0,497.0,1.0,0.5114285714285715,0.05714285714285714,0.0,0.017142857142857144,7,133930,0.004668434123325863
PH153802007,1623.0,824.0,799.0,4.0,0.30743243243243246,0.2719594594594595,0.02533783783783784,0.16047297297297297,9,253012,0.00915928100779009
PH153802008,1547.0,739.0,808.0,4.0,0.019448946515397084,0.008103727714748784,0.0016207455429497568,0.0032414910858995136,0,253014,0.0347064889339599
PH153802009,1637.0,787.0,850.0,5.0,0.6942148760330579,0.2644628099173554,0.019834710743801654,0.04628099173553719,9,133916,0.007196902506275251
PH153802011,1026.0,601.0,425.0,4.0,0.6599552572706935,0.06935123042505593,0.011185682326621925,0.09843400447427293,9,216640,0.010883698336618775
PH153802012,1137.0,565.0,572.0,2.0,0.020958083832335328,0.0,0.0,0.011976047904191617,1,133920,0.0033461428190028407
PH153802017,1114.0,545.0,569.0,1.0,0.5045045045045045,0.06531531531531531,0.0045045045045045045,0.036036036036036036,2,133923,0.004294346204916493
PH153802018,911.0,428.0,483.0,,0.003246753246753247,0.42207792207792205,0.025974025974025976,0.6461038961038961,0,133932,0.02867979439897673
PH153802020,1047.0,513.0,534.0,1.0,1.0,0.0,0.005479452054794521,0.13424657534246576,1,133925,0.040309997454420966
PH153802021,644.0,312.0,332.0,2.0,0.038834951456310676,0.0,0.0,0.019417475728155338,6,216640,0.005898911959007385
